Team,League,Attack_Rating,Midfield_Rating,Defense_Rating,UCL_Titles,UEFA_Coefficient,Squad_Value_M,Domestic_League_Rank,Current_Form,Manager_UCL_Experience,Star_Player_Impact
Arsenal,Premier League,96,95,95,0,93.00,1270,3,8.8,7,9.6
Manchester City,Premier League,95,97,92,1,117.75,1280,2,9.1,10,9.7
Real Madrid,La Liga,94,93,89,15,131.50,1340,2,8.5,10,9.9
FC Barcelona,La Liga,96,92,86,5,96.25,1110,1,9.7,7,9.8
Liverpool,Premier League,92,90,89,6,115.50,960,1,9.3,8,9.2
Bayern Munich,Bundesliga,91,89,86,6,124.25,940,2,9.0,7,9.4
Paris Saint-Germain,Ligue 1,89,87,85,0,109.50,890,1,8.9,7,8.9
Inter Milan,Serie A,87,88,92,3,121.25,750,2,8.9,8,8.8
Bayer Leverkusen,Bundesliga,89,87,84,0,98.25,650,3,8.4,6,9.1
Atletico Madrid,La Liga,83,85,90,0,89.00,520,3,7.9,9,8.3
Borussia Dortmund,Bundesliga,84,83,81,1,98.75,540,4,7.6,7,8.0
Juventus,Serie A,80,82,86,2,80.00,480,3,7.7,6,7.8
AC Milan,Serie A,85,84,82,7,84.00,600,1,8.3,5,8.7
Benfica,Primeira Liga,79,80,78,2,72.00,380,2,8.4,4,7.9
Sporting CP,Primeira Liga,86,84,81,0,70.00,472,1,9.2,5,8.8
RB Leipzig,Bundesliga,81,79,78,0,84.00,420,3,7.5,3,7.8
Atalanta,Serie A,84,80,77,0,81.00,420,4,7.9,6,7.7
Aston Villa,Premier League,80,79,77,1,65.00,550,4,7.2,6,7.5
Girona,La Liga,78,77,73,0,45.00,280,5,6.8,2,6.9
Monaco,Ligue 1,79,80,76,0,60.00,350,2,7.7,3,7.4
PSV Eindhoven,Eredivisie,77,76,72,1,58.00,280,1,8.1,3,7.2
Feyenoord,Eredivisie,76,75,72,1,55.00,250,2,7.6,3,7.0
Lille,Ligue 1,75,76,77,0,52.00,270,3,7.1,3,6.9
Bologna,Serie A,73,74,75,0,40.00,220,5,6.4,2,6.2
Stuttgart,Bundesliga,76,75,74,0,42.00,240,5,6.3,2,6.6
Celtic,Scottish Premiership,71,69,67,1,45.00,150,1,7.9,3,6.5
Club Brugge,Belgian Pro League,69,70,68,0,58.00,160,1,7.4,2,6.3
Shakhtar Donetsk,Ukrainian Premier League,66,68,65,0,60.00,130,1,7.1,3,6.2
RB Salzburg,Austrian Bundesliga,67,66,64,0,50.00,200,1,7.2,2,6.5
Young Boys,Swiss Super League,63,61,59,0,30.00,70,1,6.6,1,5.6
Sparta Prague,Czech First League,65,64,61,0,35.00,60,1,6.9,1,5.9
Slovan Bratislava,Slovak Super Liga,59,56,53,0,15.00,40,1,6.3,1,5.2
